system_key,manufacturer,level,collar_height_mm,stated_length_is,notes,catalog_source,verified
Bicon,Bicon Implants LLC,bone,0,overall = endosseous,"Subcrestal submerged plateau design, stated = full plateau length, no collar.",https://www.bicon.com,2026-09-07 (medium)
BTI UnicCa,BTI Biotechnology Institute,bone,0,overall = endosseous,"No built-in collar; transmucosal height supplied by separate Multi-IM transepithelial abutment (lever arm lives in the abutment, not the fixture).",https://bti-biotechnologyinstitute.com,2026-09-07 (medium-high)
TwinKon GlobalD,Global D / Tekka,tissue,1.5,endosseous (collar additional),"twinKon 4 confirmed: stated 4mm endosseous + 1.5mm collar; Universal SA2 extrapolated from shared collar design.",https://www.globald.com,2026-09-07 (high for twinKon4 / medium SA2)
JDIcon JDentalCare,JDentalCare (Modena),bone,1.5,overall = endosseous (Svezia/W2895578297, the only in-set JD trial: placed bone-level with bone over the whole collar zone - radiograph-verified MN 07/09/2026),"Switchable: sold fully-SLA (bone-level) or with 1.5mm machined collar. Opposite convention from Straumann/GlobalD when collared. W2895578297 mixed JDIcon+JDEvolution within arms - SKU split unknown.",https://www.jdentalcare.com,2026-09-07 (medium)
JDEvolution JDentalCare,JDentalCare (Modena),bone,1.5,overall = endosseous (same radiograph verification as JDIcon row; Plus-with-collar convention documented in notes for future trials),"Same trial caveat as JDIcon row.",https://www.jdentalcare.com,2026-09-07 (high for convention / unresolved per trial)
AnyRidge MegaGen,MegaGen Implant Co.,bone,0,overall = endosseous,"Dimension diagram AnyRidge_engweb.pdf p.11: Length spans platform bevel to apex, threads immediately below platform, no dimensioned collar. Catalog cuff heights 2-5mm are ABUTMENT parts. Physical length runs 0.6-0.8mm short of written (self-tapping apex artifact).",https://imegagen.com/wp-content/uploads/2019/08/AnyRidge_engweb.pdf,2026-09-07 (medium-high; drawing not printed number)
MegaGen Rescue,MegaGen Implant Co.,bone,0,overall = endosseous,"External + Internal variants: L measured below hex/boss to apex, threads full length, no unthreaded neck (catalog p.2 drawings via medicalexpo CDN). Lengths incl 5.0/6.0mm shorts.",https://pdf.medicalexpo.com/pdf/megagen-implant/rescue-internal/73228-139453.html,2026-09-07 (high)
EZ Plus MegaGen,MegaGen Implant Co.,bone,0,overall = endosseous,"Fixture drawing catalog p.7: full-thread body, no collar; 'cuff heights' 2-5mm belong to healing/prosthetic components.",https://pdf.medicalexpo.com/pdf/megagen-implant/ez-plus-internal/73228-139451.html,2026-09-07 (high)
Exfeel MegaGen,MegaGen Implant Co.,variant-dependent,,unknown (Internal: tissue-level - 1.2 or 2.2mm cuff ADDITIONAL to stated body length; External: bone-level - 0 collar - overall = endosseous),"Two distinct lines. Xpeed is a surface brand, not a product line; Xpeed-surfaced clinical reports point to ExFeel External. Resolve variant per study before assigning collar.",https://www.megagen.nl/brochure/pdf/ExFeel-brochure.pdf,2026-09-07 (high per variant / variant per trial unresolved)
Bone System,Bone System (Milano),tissue,2.5,endosseous (collar additional),"SH short/TL line: catalogue states intraosseous length only, 2.5mm machined transmucosal collar separate - matches trial's own description verbatim.",https://www.bonesystem.it,2026-09-07 (high)
PW+ Dental Implant System,PW Plus Co. Ltd (Thailand),,,unknown,"No public catalogue/IFU/spec found; only a Chiang Mai Dental Journal outcomes paper. Needs manufacturer contact or printed catalogue.",https://he01.tci-thaijo.org/index.php/cmdj/article/view/195442,2026-09-07 (low)
XFOS ExternalHex,Zimmer Biomet / Biomet 3i,bone,0,overall = endosseous,"Matcher key for arm texts carrying only the XFOS catalogue code - same device family as the Osseotite Zimmer row.",https://www.zimvie.com,2026-09-07
NXFOS ExternalHex,Zimmer Biomet / Biomet 3i,bone,0,overall = endosseous,"Matcher key for NXFOS-coded arm texts - N = NanoTite/DCD surface, geometry as XFOS.",https://www.zimvie.com,2026-09-07
